iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
SYC,Africa,Seychelles,2020-06-11,11,0,0,0,111.857,0.0,0.0,0.0,,,,,,,,19.44,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6
SLE,Africa,Sierra Leone,2020-06-11,1062,37,50,0,133.133,4.638,6.268,0.0,,,,,,,,,7976985.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,
SGP,Asia,Singapore,2020-06-11,38965,451,25,0,6660.293,77.089,4.273,0.0,,,,,,,,,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4
SXM,North America,Sint Maarten (Dutch part),2020-06-11,77,0,15,0,1795.625,0.0,349.797,0.0,,,,,,,,,42882.0,1209.088,,,,36327.232,,,,,,,
SVK,Europe,Slovakia,2020-06-11,1533,2,28,0,280.788,0.366,5.129,0.0,193471.0,1500.0,35.437,0.275,1387.0,0.254,tests performed,,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82
SVN,Europe,Slovenia,2020-06-11,1488,2,109,1,715.752,0.962,52.431,0.481,,,,,,,,,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5
SOM,Africa,Somalia,2020-06-11,2452,36,85,0,154.28,2.265,5.348,0.0,,,,,,,,,15893219.0,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9
ZAF,Africa,South Africa,2020-06-11,55421,2430,1210,48,934.45,40.972,20.402,0.809,1028399.0,29999.0,17.34,0.506,29675.0,0.5,units unclear,,59308690.0,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32
KOR,Asia,South Korea,2020-06-11,11947,45,276,0,233.025,0.878,5.383,0.0,1066888.0,14916.0,20.81,0.291,13290.0,0.259,people tested,,51269183.0,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27
SSD,Africa,South Sudan,2020-06-11,1604,0,19,0,143.295,0.0,1.697,0.0,,,,,,,,,11193729.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,
LKA,Asia,Sri Lanka,2020-06-11,1869,10,11,0,87.282,0.467,0.514,0.0,,,,,,,,,21413250.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6
SDN,Africa,Sudan,2020-06-11,6427,185,389,17,146.57,4.219,8.871,0.388,,,,,,,,,43849269.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8
SUR,South America,Suriname,2020-06-11,137,0,2,0,233.536,0.0,3.409,0.0,,,,,,,,93.52,586634.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1
SWZ,Africa,Swaziland,2020-06-11,398,27,3,0,343.055,23.273,2.586,0.0,,,,,,,,,1160164.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1
SWE,Europe,Sweden,2020-06-11,46814,890,4795,78,4635.385,88.125,474.787,7.723,,,,,,,,,10099270.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22
CHE,Europe,Switzerland,2020-06-11,30928,23,1674,12,3573.583,2.658,193.423,1.387,,,,,,,,,8654618.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53
SYR,Asia,Syria,2020-06-11,152,6,6,0,8.685,0.343,0.343,0.0,,,,,,,,,17500657.0,,21.7,,2.577,,,376.264,,,,70.598,1.5
TWN,Asia,Taiwan,2020-06-11,443,0,7,0,18.6,0.0,0.294,0.0,,,,,,,,,23816775.0,,42.2,,8.353,,,103.957,,,,,
TJK,Asia,Tajikistan,2020-06-11,4763,73,48,0,499.39,7.654,5.033,0.0,,,,,,,,,9537642.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8
TZA,Africa,Tanzania,2020-06-11,509,0,21,0,8.521,0.0,0.352,0.0,,,,,,,,,59734213.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7
THA,Asia,Thailand,2020-06-11,3125,0,58,0,44.771,0.0,0.831,0.0,,,,,,,,,69799978.0,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1
TLS,Asia,Timor,2020-06-11,24,0,0,0,18.203,0.0,0.0,0.0,,,,,,,,,1318442.0,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9
TGO,Africa,Togo,2020-06-11,522,21,13,0,63.053,2.537,1.57,0.0,,,,,,,,,8278737.0,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7
